image_names,cell_type,xmin,xmax,ymin,ymax
RED_DATA (789).jpg,Ripe,92,915,122,919
BLACK_DATA (611).jpg,Rotten,470,521,462,514
BLACK_DATA (460).jpg,Rotten,377,482,305,387
GREEN_DATA (429).jpg,Unripe,224,345,501,614
GREEN_DATA (735).jpg,Unripe,152,489,202,559
BLACK_DATA (516).jpg,Rotten,639,736,31,123
RED_DATA (454).jpg,Ripe,365,835,467,857
GREEN_DATA (639).jpg,Unripe,212,551,145,445
GREEN_DATA (332).jpg,Unripe,487,710,103,345
GREEN_DATA (123).jpg,Unripe,301,372,198,272
RED_DATA (811).jpg,Ripe,129,891,254,929
GREEN_DATA (667).jpg,Unripe,549,776,157,390
BLACK_DATA (170).jpg,Rotten,663,715,264,323
GREEN_DATA (288).jpg,Unripe,224,526,324,589
BLACK_DATA (166).jpg,Rotten,157,741,135,707
RED_DATA (194).jpg,Ripe,39,362,120,412
BLACK_DATA (752).jpg,Rotten,323,712,169,563
RED_DATA (503).jpg,Ripe,220,439,81,322
RED_DATA (704).jpg,Ripe,205,760,300,800
RED_DATA (609).jpg,Ripe,429,800,317,690
GREEN_DATA (198).jpg,Unripe,150,350,367,541
RED_DATA (187).jpg,Ripe,352,516,144,299
RED_DATA (552).jpg,Ripe,662,1092,580,928
BLACK_DATA (712).jpg,Rotten,409,506,485,592
GREEN_DATA (757).jpg,Unripe,194,399,129,334
BLACK_DATA (508).jpg,Rotten,489,635,237,374
BLACK_DATA (517).jpg,Rotten,561,646,292,380
GREEN_DATA (365).jpg,Unripe,589,916,112,459
GREEN_DATA (156).jpg,Ripe,504,614,370,475
RED_DATA (492).jpg,Ripe,1017,1269,387,720
GREEN_DATA (17).jpg,Unripe,222,506,83,344
GREEN_DATA (894).jpg,Unripe,454,651,237,447
BLACK_DATA (562).jpg,Rotten,576,929,407,609
GREEN_DATA (216).jpg,Unripe,314,571,172,440
BLACK_DATA (665).jpg,Rotten,67,327,73,386
GREEN_DATA (745).jpg,Unripe,250,397,128,342
BLACK_DATA (137).jpg,Rotten,556,754,4,167
GREEN_DATA (794).jpg,Unripe,422,571,477,634
RED_DATA (618).jpg,Ripe,351,566,116,340
BLACK_DATA (318).jpg,Rotten,656,766,337,457
RED_DATA (334).jpg,Ripe,77,234,831,1016
RED_DATA (369).jpg,Ripe,562,1224,240,883
RED_DATA (788).jpg,Ripe,157,839,92,961
RED_DATA (235).jpg,Ripe,217,320,636,726
RED_DATA (454).jpg,Ripe,142,495,715,1105
GREEN_DATA (309).jpg,Unripe,402,484,279,367
GREEN_DATA (12).jpg,Unripe,303,763,210,690
GREEN_DATA (699).jpg,Unripe,148,364,247,461
RED_DATA (354).jpg,Unripe,267,406,344,515
GREEN_DATA (302).jpg,Unripe,453,581,491,618
BLACK_DATA (713).jpg,Rotten,569,619,320,364
RED_DATA (411).jpg,Ripe,289,747,310,810
BLACK_DATA (168).jpg,Rotten,132,199,560,614
BLACK_DATA (737).jpg,Rotten,515,719,169,380
GREEN_DATA (847).jpg,Unripe,164,303,151,282
RED_DATA (558).jpg,Ripe,882,1292,105,480
RED_DATA (28).jpg,Ripe,494,791,167,379
GREEN_DATA (226).jpg,Unripe,679,811,318,460
GREEN_DATA (108).jpg,Ripe,409,504,382,477
GREEN_DATA (418).jpg,Unripe,439,689,322,530
BLACK_DATA (320).jpg,Rotten,323,805,144,614
BLACK_DATA (96).jpg,Rotten,594,764,267,405
GREEN_DATA (71).jpg,Unripe,227,457,507,706
BLACK_DATA (569).jpg,Rotten,138,230,323,408
BLACK_DATA (101).jpg,Rotten,194,254,125,189
GREEN_DATA (167).jpg,Unripe,287,514,342,577
GREEN_DATA (542).jpg,Unripe,306,376,564,639
BLACK_DATA (285).jpg,Rotten,589,936,250,602
BLACK_DATA (97).jpg,Rotten,437,514,841,912
GREEN_DATA (410).jpg,Unripe,366,580,146,338
BLACK_DATA (184).jpg,Rotten,134,894,127,847
GREEN_DATA (769).jpg,Unripe,364,629,210,481
RED_DATA (542).jpg,Ripe,887,1270,302,735
GREEN_DATA (439).jpg,Unripe,186,273,260,343
BLACK_DATA (570).jpg,Rotten,0,67,508,580
RED_DATA (336).jpg,Ripe,728,795,122,190
RED_DATA (379).jpg,Ripe,324,627,195,523
RED_DATA (830).jpg,Ripe,199,487,242,519
BLACK_DATA (9).jpg,Rotten,478,583,217,278
RED_DATA (555).jpg,Ripe,0,192,730,1067
GREEN_DATA (454).jpg,Unripe,307,375,418,480
BLACK_DATA (102).jpg,Rotten,608,689,307,375
GREEN_DATA (387).jpg,Unripe,631,846,234,444
GREEN_DATA (662).jpg,Unripe,168,302,73,205
BLACK_DATA (323).jpg,Rotten,539,676,92,207
RED_DATA (281).jpg,Ripe,397,666,47,350
GREEN_DATA (552).jpg,Unripe,566,754,367,529
BLACK_DATA (717).jpg,Rotten,181,240,364,415
BLACK_DATA (484).jpg,Rotten,499,989,2,542
GREEN_DATA (336).jpg,Ripe,229,482,217,437
RED_DATA (821).jpg,Ripe,84,919,114,896
GREEN_DATA (641).jpg,Unripe,67,360,469,751
GREEN_DATA (592).jpg,Unripe,589,794,382,587
BLACK_DATA (216).jpg,Rotten,801,857,490,559
BLACK_DATA (99).jpg,Rotten,334,404,443,503
GREEN_DATA (902).jpg,Unripe,360,510,611,759
BLACK_DATA (616).jpg,Rotten,135,384,88,348
GREEN_DATA (62).jpg,Ripe,172,434,232,477
RED_DATA (555).jpg,Ripe,369,807,422,780
GREEN_DATA (11).jpg,Unripe,326,375,707,751
RED_DATA (264).jpg,Ripe,407,659,115,380
GREEN_DATA (246).jpg,Ripe,619,839,299,507
BLACK_DATA (860).jpg,Rotten,91,254,498,631
BLACK_DATA (786).jpg,Rotten,302,586,210,560
BLACK_DATA (744).jpg,Rotten,623,905,304,555
RED_DATA (382).jpg,Ripe,132,375,62,322
GREEN_DATA (821).jpg,Unripe,202,352,422,556
BLACK_DATA (77).jpg,Rotten,256,402,46,181
RED_DATA (969).jpg,Ripe,124,886,182,853
RED_DATA (85).jpg,Ripe,254,614,162,504
BLACK_DATA (304).jpg,Rotten,284,619,167,532
GREEN_DATA (680).jpg,Unripe,534,956,147,475
GREEN_DATA (835).jpg,Unripe,394,576,230,477
GREEN_DATA (440).jpg,Unripe,252,340,399,470
GREEN_DATA (8).jpg,Unripe,197,318,391,526
GREEN_DATA (393).jpg,Unripe,312,551,267,535
BLACK_DATA (530).jpg,Rotten,163,442,47,319
RED_DATA (828).jpg,Ripe,389,614,234,442
RED_DATA (401).jpg,Ripe,901,1035,778,922
RED_DATA (202).jpg,Ripe,188,472,269,512
BLACK_DATA (342).jpg,Rotten,697,833,67,205
BLACK_DATA (524).jpg,Rotten,274,529,207,479
RED_DATA (722).jpg,Ripe,667,905,517,737
GREEN_DATA (424).jpg,Unripe,477,666,99,247
RED_DATA (304).jpg,Unripe,98,204,353,443
BLACK_DATA (248).jpg,Rotten,714,931,220,450
BLACK_DATA (164).jpg,Rotten,352,425,469,530
BLACK_DATA (618).jpg,Rotten,129,432,139,472
RED_DATA (333).jpg,Ripe,75,407,432,801
RED_DATA (375).jpg,Ripe,175,385,665,917
BLACK_DATA (681).jpg,Rotten,396,529,277,428
RED_DATA (593).jpg,Ripe,1049,1404,397,813
RED_DATA (224).jpg,Ripe,452,1004,190,703
GREEN_DATA (537).jpg,Unripe,269,468,386,574
GREEN_DATA (827).jpg,Unripe,514,640,111,246
RED_DATA (691).jpg,Ripe,1145,1470,508,905
RED_DATA (378).jpg,Ripe,819,1143,423,780
RED_DATA (673).jpg,Ripe,72,330,940,1240
BLACK_DATA (712).jpg,Rotten,324,406,95,166
RED_DATA (72).jpg,Unripe,658,756,328,442
GREEN_DATA (449).jpg,Ripe,275,487,427,624
GREEN_DATA (283).jpg,Unripe,656,813,292,449
RED_DATA (843).jpg,Ripe,342,701,224,597
GREEN_DATA (636).jpg,Unripe,464,769,182,527
BLACK_DATA (826).jpg,Rotten,231,344,3,99
